zip_code,county,latitude,longetude
98164,King,47.606139,-122.33186
98134,King,47.57867,-122.33441
98148,King,47.443756,-122.33068
98101,King,47.61067,-122.33438
98121,King,47.61487,-122.34578
98104,King,47.60252,-122.32855
98136,King,47.538887,-122.38803
98177,King,47.740886,-122.36978
98199,King,47.64767,-122.39758
98166,King,47.458821,-122.34943
98126,King,47.54687,-122.3748
98109,King,47.630648,-122.34675
98102,King,47.63287,-122.32253
98119,King,47.63877,-122.36694
98112,King,47.629653,-122.29752
98107,King,47.66747,-122.37468
98116,King,47.57487,-122.39392
98108,King,47.546188,-122.31514
98106,King,47.53282,-122.35443
98110,Kitsap,47.65526,-122.53508
98188,King,47.450321,-122.27472
98178,King,47.497971,-122.24664
98146,King,47.501753,-122.35688
98144,King,47.58577,-122.30081
98117,King,47.685919,-122.37838
98122,King,47.61157,-122.30406
98155,King,47.753019,-122.30373
98168,King,47.491327,-122.3027
98198,King,47.397521,-122.315
98125,King,47.716648,-122.30308
98118,King,47.543348,-122.27496
98105,King,47.66377,-122.30118
98133,King,47.733852,-122.34461
98103,King,47.671346,-122.34166
98115,King,47.68382,-122.30122
