zip_code,county,latitude,longitude
63101,Saint Louis City,38.631551,-90.193
63102,Saint Louis City,38.6352,-90.18702
63103,Saint Louis City,38.631451,-90.21415
63104,Saint Louis City,38.610701,-90.21362
63105,Saint Louis,38.645484,-90.32888
63106,Saint Louis City,38.644451,-90.20636
63107,Saint Louis City,38.6628,-90.20949
63108,Saint Louis City,38.646201,-90.25435
63109,Saint Louis City,38.586052,-90.2941
63110,Saint Louis City,38.622601,-90.26182
63111,Saint Louis City,38.559302,-90.25174
63112,Saint Louis City,38.661351,-90.28434
63113,Saint Louis City,38.656701,-90.24397
63114,Saint Louis,38.702651,-90.36109
63115,Saint Louis City,38.676851,-90.24009
63116,Saint Louis City,38.580552,-90.26307
63117,Saint Louis,38.628402,-90.32636
63118,Saint Louis City,38.594901,-90.2278
63119,Saint Louis,38.590652,-90.35168
63120,Saint Louis City,38.691901,-90.25992
63121,Saint Louis,38.706301,-90.29609
63122,Saint Louis,38.582702,-90.40966
63123,Saint Louis,38.549452,-90.32525
63124,Saint Louis,38.645802,-90.37687
63125,Saint Louis,38.524066,-90.2895
63126,Saint Louis,38.552303,-90.37921
63127,Saint Louis,38.53987,-90.40024
63128,Saint Louis,38.500734,-90.37113
63129,Saint Louis,38.469953,-90.32161
63130,Saint Louis,38.663951,-90.32348
63131,Saint Louis,38.618582,-90.43643
63132,Saint Louis,38.675784,-90.37463
63133,Saint Louis,38.679684,-90.30186
63134,Saint Louis,38.738217,-90.33904
63135,Saint Louis,38.74785,-90.30258
63136,Saint Louis,38.73835,-90.26154
63137,Saint Louis,38.748183,-90.21864
63138,Saint Louis,38.787849,-90.21041
63139,Saint Louis City,38.610901,-90.29174
63140,Saint Louis,38.73965,-90.32178
63141,Saint Louis,38.662302,-90.45363
63143,Saint Louis,38.612452,-90.31822
63144,Saint Louis,38.619152,-90.34964
63146,Saint Louis,38.688585,-90.44689
63147,Saint Louis City,38.692861,-90.21905
